"Code","Nemo","Sntx"
"00","NOP"
"01","AJMP","ABS"
"02","LJMP","ABS,ABS"
"03","RR"
"04","INC","A"
"05","INC","DIR"
"06","INC","@R0"
"07","INC","@R1"
"08","INC","R0"
"09","INC","R1"
"0A","INC","R2"
"0B","INC","R3"
"0C","INC","R4"
"0D","INC","R5"
"0E","INC","R6"
"0F","INC","R7"
"10","JBC","BIT,REL"
"11","ACALL","ABS"
"12","LCALL","ABS,ABS"
"13","RRC"
"14","DEC","A"
"15","DEC","DIR"
"16","DEC","@R0"
"17","DEC","@R1"
"18","DEC","R0"
"19","DEC","R1"
"1A","DEC","R2"
"1B","DEC","R3"
"1C","DEC","R4"
"1D","DEC","R5"
"1E","DEC","R6"
"1F","DEC","R7"
"20","JB","BIT,REL"
"21","AJMP","REL"
"22","RET"
"23","RL"
"24","ADD","A,#DAT"
"25","ADD","A,DIR"
"26","ADD","A,@R0"
"27","ADD","A,@R1"
"28","ADD","A,R0"
"29","ADD","A,R1"
"2A","ADD","A,R2"
"2B","ADD","A,R3"
"2C","ADD","A,R4"
"2D","ADD","A,R5"
"2E","ADD","A,R6"
"2F","ADD","A,R7"
"30","JNB","BIT,REL"
"31","ACALL","REL"
"32","RETI"
"33","RLC"
"34","ADDC","A,#DAT"
"35","ADDC","A,DIR"
"36","ADDC","A,@R0"
"37","ADDC","A,@R1"
"38","ADDC","A,R0"
"39","ADDC","A,R1"
"3A","ADDC","A,R2"
"3B","ADDC","A,R3"
"3C","ADDC","A,R4"
"3D","ADDC","A,R5"
"3E","ADDC","A,R6"
"3F","ADDC","A,R7"
"40","JC","REL"
"41","AJMP","REL"
"42","ORL","DIR,A"
"43","ORL","DIR,#DAT"
"44","ORL","A,#DAT"
"45","ORL","A,DIR"
"46","ORL","A,@R0"
"47","ORL","A,@R1"
"48","ORL","A,R0"
"49","ORL","A,R1"
"4A","ORL","A,R2"
"4B","ORL","A,R3"
"4C","ORL","A,R4"
"4D","ORL","A,R5"
"4E","ORL","A,R6"
"4F","ORL","A,R7"
"50","JNC","REL"
"51","ACALL","REL"
"52","ANL","DIR,A"
"53","ANL","DIR,#DAT"
"54","ANL","A,#DAT"
"55","ANL","A,DIR"
"56","ANL","A,@R0"
"57","ANL","A,@R1"
"58","ANL","A,R0"
"59","ANL","A,R1"
"5A","ANL","A,R2"
"5B","ANL","A,R3"
"5C","ANL","A,R4"
"5D","ANL","A,R5"
"5E","ANL","A,R6"
"5F","ANL","A,R7"
"60","JZ","REL"
"61","AJMP","REL"
"62","XRL","DIR,A"
"63","XRL","DIR,#DAT"
"64","XRL","A,#DAT"
"65","XRL","A,DIR"
"66","XRL","A,@R0"
"67","XRL","A,@R1"
"68","XRL","A,R0"
"69","XRL","A,R1"
"6A","XRL","A,R2"
"6B","XRL","A,R3"
"6C","XRL","A,R4"
"6D","XRL","A,R5"
"6E","XRL","A,R6"
"6F","XRL","A,R7"
"70","JNZ","REL"
"71","ACALL","REL"
"72","ORL","C,BIT"
"73","JMP"
"74","MOV","A,#DAT"
"75","MOV","DIR,#DAT"
"76","MOV","@R0,#DAT"
"77","MOV","@R1,#DAT"
"78","MOV","R0,#DAT"
"79","MOV","R1,#DAT"
"7A","MOV","R2,#DAT"
"7B","MOV","R3,#DAT"
"7C","MOV","R4,#DAT"
"7D","MOV","R5,#DAT"
"7E","MOV","R6,#DAT"
"7F","MOV","R7,#DAT"
"80","SJMP","REL"
"81","AJMP","REL"
"82","ANL","C,BIT"
"83","MOVC","A,@A+PC"
"84","DIV"
"85","MOV","DIR,DIR"
"86","MOV","DIR,@R0"
"87","MOV","DIR,@R1"
"88","MOV","DIR,R0"
"89","MOV","DIR,R1"
"8A","MOV","DIR,R2"
"8B","MOV","DIR,R3"
"8C","MOV","DIR,R4"
"8D","MOV","DIR,R5"
"8E","MOV","DIR,R6"
"8F","MOV","DIR,R7"
"90","MOV","DPTR,#DATDAT"
"91","ACALL","REL"
"92","MOV","BIT,C"
"93","MOVC","A,@A+DPTR"
"94","SUBB","A,#DAT"
"95","SUBB","A,DIR"
"96","SUBB","A,@R0"
"97","SUBB","A,@R1"
"98","SUBB","A,R0"
"99","SUBB","A,R1"
"9A","SUBB","A,R2"
"9B","SUBB","A,R3"
"9C","SUBB","A,R4"
"9D","SUBB","A,R5"
"9E","SUBB","A,R6"
"9F","SUBB","A,R7"
"A0","ORL","C,/BIT"
"A1","AJMP","REL"
"A2","MOV","C,BIT"
"A3","INC","DPTR"
"A4","MUL"
"A6","MOV","@R0,DIR"
"A7","MOV","@R1,DIR"
"A8","MOV","R0,DIR"
"A9","MOV","R1,DIR"
"AA","MOV","R2,DIR"
"AB","MOV","R3,DIR"
"AC","MOV","R4,DIR"
"AD","MOV","R5,DIR"
"AE","MOV","R6,DIR"
"AF","MOV","R7,DIR"
"B0","ANL","C,/BIT"
"B1","ACALL","REL"
"B2","CPL","BIT"
"B3","CPL","C"
"B4","CJNE","A,#DAT,REL"
"B5","CJNE","A,DIR,REL"
"B6","CJNE","@R0,#DAT,REL"
"B7","CJNE","@R1,#DAT,REL"
"B8","CJNE","R0,#DAT,REL"
"B9","CJNE","R1,#DAT,REL"
"BA","CJNE","R2,#DAT,REL"
"BB","CJNE","R3,#DAT,REL"
"BC","CJNE","R4,#DAT,REL"
"BD","CJNE","R5,#DAT,REL"
"BE","CJNE","R6,#DAT,REL"
"BF","CJNE","R7,#DAT,REL"
"C0","PUSH","DIR"
"C1","AJMP","REL"
"C2","CLR","BIT"
"C3","CLR","C"
"C4","SWAP"
"C5","XCH","A,DIR"
"C6","XCH","A,@R0"
"C7","XCH","A,@R1"
"C8","XCH","A,R0"
"C9","XCH","A,R1"
"CA","XCH","A,R2"
"CB","XCH","A,R3"
"CC","XCH","A,R4"
"CD","XCH","A,R5"
"CE","XCH","A,R6"
"CF","XCH","A,R7"
"D0","POP","DIR"
"D1","ACALL","REL"
"D2","SETB","BIT"
"D3","SETB","C"
"D4","DA"
"D5","DJNZ","DIR,REL"
"D6","XCHD","A,@R0"
"D7","XCHD","A,@R7"
"D8","DJNZ","R0,REL"
"D9","DJNZ","R1,REL"
"DA","DJNZ","R2,REL"
"DB","DJNZ","R3,REL"
"DC","DJNZ","R4,REL"
"DD","DJNZ","R5,REL"
"DE","DJNZ","R6,REL"
"DF","DJNZ","R7,REL"
"E0","MOVX","A,@DPTR"
"E1","AJMP","REL"
"E2","MOVX","A,@R0"
"E3","MOVX","A,@R1"
"E4","CLR", "A"
"E5","MOV","A,DIR"
"E6","MOV","A,@R0"
"E7","MOV","A,@R1"
"E8","MOV","A,R0"
"E9","MOV","A,R1"
"EA","MOV","A,R2"
"EB","MOV","A,R3"
"EC","MOV","A,R4"
"ED","MOV","A,R5"
"EE","MOV","A,R6"
"EF","MOV","A,R7"
"F0","MOVX","@DPTR,A"
"F1","ACALL","REL"
"F2","MOVX","@R0,A"
"F3","MOVX","@R1,A"
"F4","CPL","A"
"F5","MOV","DIR,A"
"F6","MOV","@R0,A"
"F7","MOV","@R1,A"
"F8","MOV","R0,A"
"F9","MOV","R1,A"
"FA","MOV","R2,A"
"FB","MOV","R3,A"
"FC","MOV","R4,A"
"FD","MOV","R5,A"
"FE","MOV","R6,A"
"FF","MOV","R7,A"